DATEEFFECTIVE,INTERSECTIONDESC,CLASSIFICATION,CLASSIFICATIONDESC,geometry,MODGEOMETRY
2008-12-12 4:22:46 AM,EVANS AVE / GAIR DR,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5521483815, 43.6099326771)}"," (-79.5521483815, 43.6099326771)"
2008-12-12 4:22:46 AM,BISSET AVE / GAIR DR,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5517963829, 43.6091396855)}"," (-79.5517963829, 43.6091396855)"
2008-12-12 4:22:46 AM,SHERWAY GARDENS RD / SHERWAY GT,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5569035914, 43.6101261811)}"," (-79.5569035914, 43.6101261811)"
2008-12-12 4:22:46 AM,EVANS AVE / SHERWAY GT,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5564198939, 43.6089895137)}"," (-79.5564198939, 43.6089895137)"
2008-12-12 4:22:46 AM,BISSET AVE / SAVONA DR,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5541834803, 43.6086172434)}"," (-79.5541834803, 43.6086172434)"
2008-12-12 4:22:46 AM,EVANS AVE / QEW X E EVANS E RAMP,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5571762577, 43.6088056169)}"," (-79.5571762577, 43.6088056169)"
2008-12-12 4:22:46 AM,BISSET AVE / HELSBY CRES,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5567387187, 43.6072958183)}"," (-79.5567387187, 43.6072958183)"
2008-12-12 4:22:46 AM,HARGROVE LANE / ECKER DR,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5521284689, 43.6068288409)}"," (-79.5521284689, 43.6068288409)"
2008-12-12 4:22:46 AM,HARGROVE LANE / BISSET AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5529971687, 43.6088684352)}"," (-79.5529971687, 43.6088684352)"
2008-12-12 4:22:46 AM,HAWLEY AVE / GAIR DR,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5516687257, 43.6088236131)}"," (-79.5516687257, 43.6088236131)"
2008-12-12 4:22:46 AM,ECKER DR / COULES CRT,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5498020429, 43.6073579469)}"," (-79.5498020429, 43.6073579469)"
2008-12-12 4:22:46 AM,ECKER DR / GAIR DR,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5509416076, 43.6071017502)}"," (-79.5509416076, 43.6071017502)"
2008-12-12 4:22:46 AM,SHELDON AVE / LANOR AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5455383395, 43.6088824603)}"," (-79.5455383395, 43.6088824603)"
2008-12-12 4:22:46 AM,BROWN'S LINE / COULES CRT,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5480575357, 43.6083128359)}"," (-79.5480575357, 43.6083128359)"
2008-12-12 4:22:46 AM,BROWN'S LINE / EVANS BROWNS LI RAMP,MJRSL,MAJOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5483131107, 43.6090094837)}"," (-79.5483131107, 43.6090094837)"
2008-12-12 4:22:46 AM,BROWN'S LINE / BROWNS LI N GARDINER X E RAMP,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5483861974, 43.6094696237)}"," (-79.5483861974, 43.6094696237)"
2008-12-12 4:22:46 AM,EVANS AVE / BROWNS LI N GARDINER X E RAMP / BROWNS LI N EVANS RAMP,MNRML,MINOR-MULTI LEVEL,"{u'type': u'Point', u'coordinates': (-79.5485796307, 43.6107376174)}"," (-79.5485796307, 43.6107376174)"
2008-12-12 4:22:46 AM,EVANS AVE / BROWNS LI N GARDINER X E RAMP / BROWNS LI N EVANS RAMP,MNRML,MINOR-MULTI LEVEL,"{u'type': u'Point', u'coordinates': (-79.5485796307, 43.6107376174)}"," (-79.5485796307, 43.6107376174)"
2008-12-12 4:22:46 AM,SHELDON AVE / SILVERCREST AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5461263027, 43.6103776134)}"," (-79.5461263027, 43.6103776134)"
2008-12-12 4:22:46 AM,SHELDON AVE / SILVERCREST AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5454075529, 43.6105374154)}"," (-79.5454075529, 43.6105374154)"
2008-12-12 4:22:46 AM,HALLMARK AVE / LANOR AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5446940948, 43.6090653784)}"," (-79.5446940948, 43.6090653784)"
